ComparisonID,Study1,Study2,AvgOddsRatio,ComparisonType
94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1152994842740214,"Same patient, different studies"
10291856 vs 10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1211578493717755,"Random patient, different studies"
10291856 vs 10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1035868138410956,"Random patient, different studies"
10291856 vs 15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.104103435193249,"Random patient, different studies"
10291856 vs 20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1223641513953113,"Random patient, different studies"
10291856 vs 21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1037590197883402,"Random patient, different studies"
10291856 vs 21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0781132306466528,"Random patient, different studies"
10291856 vs 31509843,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1328786410896612,"Random patient, different studies"
10291856 vs 37030589,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1597879918752003,"Random patient, different studies"
10291856 vs 37178462,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0818982236996144,"Random patient, different studies"
10291856 vs 41773404,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0454481839293583,"Random patient, different studies"
10291856 vs 50106280,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0579934512440743,"Random patient, different studies"
10291856 vs 50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1078923135838532,"Random patient, different studies"
10291856 vs 65652206,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1127153417033055,"Random patient, different studies"
10291856 vs 67429065,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.165484011548427,"Random patient, different studies"
10291856 vs 68539908,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.156854177276479,"Random patient, different studies"
10291856 vs 70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0512904111407368,"Random patient, different studies"
10291856 vs 70816595,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1706633200543293,"Random patient, different studies"
10291856 vs 77891596,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.139430854808081,"Random patient, different studies"
10291856 vs 86934089,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1584073310134273,"Random patient, different studies"
10291856 vs 90780976,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1402931141704986,"Random patient, different studies"
10291856 vs 94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1099592132698326,"Random patient, different studies"
10291856 vs 10291856,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1211578493717755,"Random patient, different studies"
10291856 vs 10383017,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1140935182955685,"Random patient, different studies"
10291856 vs 15483818,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0648702092354212,"Random patient, different studies"
10291856 vs 20646778,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0667616453155648,"Random patient, different studies"
10291856 vs 21001771,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1184008030702999,"Random patient, different studies"
10291856 vs 21272396,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0585091432756675,"Random patient, different studies"
10291856 vs 31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.119434660304451,"Random patient, different studies"
10291856 vs 37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1266728413709248,"Random patient, different studies"
10291856 vs 37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1215025012374462,"Random patient, different studies"
10291856 vs 41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0588529438023129,"Random patient, different studies"
10291856 vs 50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.105653362439033,"Random patient, different studies"
10291856 vs 50109639,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1275346672111433,"Random patient, different studies"
10291856 vs 65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1146103538335401,"Random patient, different studies"
10291856 vs 67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1192623478380992,"Random patient, different studies"
10291856 vs 68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1072033844738765,"Random patient, different studies"
10291856 vs 70625336,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0645263269521696,"Random patient, different studies"
10291856 vs 70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0972160163174944,"Random patient, different studies"
10291856 vs 77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0734687850541775,"Random patient, different studies"
10291856 vs 86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0825864650399688,"Random patient, different studies"
10291856 vs 90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1044478552787769,"Random patient, different studies"
10291856 vs 94430339,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0748448282628464,"Random patient, different studies"
10383017 vs 10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1140935182955685,"Random patient, different studies"
10383017 vs 10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.08843727168855,"Random patient, different studies"
10383017 vs 15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1065144740889532,"Random patient, different studies"
10383017 vs 20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1237428525457545,"Random patient, different studies"
10383017 vs 21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0806938463601938,"Random patient, different studies"
10383017 vs 21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0557589072177396,"Random patient, different studies"
10383017 vs 31509843,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.113232149145641,"Random patient, different studies"
10383017 vs 37030589,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0880930691761013,"Random patient, different studies"
10383017 vs 37178462,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0732967849117223,"Random patient, different studies"
10383017 vs 41773404,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0354851452818163,"Random patient, different studies"
10383017 vs 50106280,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0303333894395024,"Random patient, different studies"
10383017 vs 50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0459636202900107,"Random patient, different studies"
10383017 vs 65652206,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1246045788276902,"Random patient, different studies"
10383017 vs 67429065,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.096355220571918,"Random patient, different studies"
10383017 vs 68539908,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1475372497231493,"Random patient, different studies"
10383017 vs 70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0396073058950237,"Random patient, different studies"
10383017 vs 70816595,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1423626561900724,"Random patient, different studies"
10383017 vs 77891596,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0989376955445331,"Random patient, different studies"
10383017 vs 86934089,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1066866999297416,"Random patient, different studies"
10383017 vs 90780976,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1187454174646636,"Random patient, different studies"
10383017 vs 94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1137489671236385,"Random patient, different studies"
10383017 vs 10291856,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1035868138410956,"Random patient, different studies"
10383017 vs 10383017,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.08843727168855,"Random patient, different studies"
10383017 vs 15483818,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0586810429550926,"Random patient, different studies"
10383017 vs 20646778,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.032050524742708,"Random patient, different studies"
10383017 vs 21001771,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0595405588693259,"Random patient, different studies"
10383017 vs 21272396,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0411532893888849,"Random patient, different studies"
10383017 vs 31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.097043854828821,"Random patient, different studies"
10383017 vs 37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0996263999916656,"Random patient, different studies"
10383017 vs 37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1199516047292504,"Random patient, different studies"
10383017 vs 41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0071634746032836,"Random patient, different studies"
10383017 vs 50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0442455399362058,"Random patient, different studies"
10383017 vs 50109639,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1103037129368383,"Random patient, different studies"
10383017 vs 65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.103414609063979,"Random patient, different studies"
10383017 vs 67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.118228497629469,"Random patient, different studies"
10383017 vs 68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1075478466881974,"Random patient, different studies"
10383017 vs 70625336,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,0.997729968667575,"Random patient, different studies"
10383017 vs 70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0681373239756886,"Random patient, different studies"
10383017 vs 77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0968716945099357,"Random patient, different studies"
10383017 vs 86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.081382054968892,"Random patient, different studies"
10383017 vs 90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1035868138410956,"Random patient, different studies"
10383017 vs 94430339,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0610877610896108,"Random patient, different studies"
15483818 vs 10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0648702092354212,"Random patient, different studies"
15483818 vs 10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0586810429550926,"Random patient, different studies"
15483818 vs 15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0688251913443378,"Random patient, different studies"
15483818 vs 20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0490564590508553,"Random patient, different studies"
15483818 vs 21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0681373239756886,"Random patient, different studies"
15483818 vs 21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0051049545765012,"Random patient, different studies"
15483818 vs 31509843,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1044478552787769,"Random patient, different studies"
15483818 vs 37030589,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0323939658000152,"Random patient, different studies"
15483818 vs 37178462,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.025182683288315,"Random patient, different studies"
15483818 vs 41773404,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0057911092777772,"Random patient, different studies"
15483818 vs 50106280,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.98332923094543,"Random patient, different studies"
15483818 vs 50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9955007457230897,"Random patient, different studies"
15483818 vs 65652206,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0554151487288321,"Random patient, different studies"
15483818 vs 67429065,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1015204337415787,"Random patient, different studies"
15483818 vs 68539908,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1651387618644358,"Random patient, different studies"
15483818 vs 70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0040757574748311,"Random patient, different studies"
15483818 vs 70816595,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0800056564545129,"Random patient, different studies"
15483818 vs 77891596,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0707169229964157,"Random patient, different studies"
15483818 vs 86934089,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.101003865042766,"Random patient, different studies"
15483818 vs 90780976,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0782852635122568,"Random patient, different studies"
15483818 vs 94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.116677801350912,"Random patient, different studies"
15483818 vs 10291856,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.104103435193249,"Random patient, different studies"
15483818 vs 10383017,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1065144740889532,"Random patient, different studies"
15483818 vs 15483818,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0688251913443378,"Random patient, different studies"
15483818 vs 20646778,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0604001039795572,"Random patient, different studies"
15483818 vs 21001771,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1289136494673269,"Random patient, different studies"
15483818 vs 21272396,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0494001311470187,"Random patient, different studies"
15483818 vs 31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1173669879884673,"Random patient, different studies"
15483818 vs 37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1152994842740214,"Random patient, different studies"
15483818 vs 37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1158163443970848,"Random patient, different studies"
15483818 vs 41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0183167075237023,"Random patient, different studies"
15483818 vs 50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0555870273894685,"Random patient, different studies"
15483818 vs 50109639,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1401206599539797,"Random patient, different studies"
15483818 vs 65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1382237409240605,"Random patient, different studies"
15483818 vs 67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1111649825878553,"Random patient, different studies"
15483818 vs 68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1364993921314421,"Random patient, different studies"
15483818 vs 70625336,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,0.9972155151347043,"Random patient, different studies"
15483818 vs 70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0731247859378217,"Random patient, different studies"
15483818 vs 77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1092702279812585,"Random patient, different studies"
15483818 vs 86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0452763741433693,"Random patient, different studies"
15483818 vs 90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1158163443970848,"Random patient, different studies"
15483818 vs 94430339,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.079833611900372,"Random patient, different studies"
20646778 vs 10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0667616453155648,"Random patient, different studies"
20646778 vs 10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.032050524742708,"Random patient, different studies"
20646778 vs 15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0604001039795572,"Random patient, different studies"
20646778 vs 20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0741567973097197,"Random patient, different studies"
20646778 vs 21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0597124655556567,"Random patient, different studies"
20646778 vs 21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0444173427197334,"Random patient, different studies"
20646778 vs 31509843,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0972160163174944,"Random patient, different studies"
20646778 vs 37030589,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.079833611900372,"Random patient, different studies"
20646778 vs 37178462,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0272428398012565,"Random patient, different studies"
20646778 vs 41773404,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9780167478802247,"Random patient, different studies"
20646778 vs 50106280,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9877857243305742,"Random patient, different studies"
20646778 vs 50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0001308904159885,"Random patient, different studies"
20646778 vs 65652206,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0530089700765581,"Random patient, different studies"
20646778 vs 67429065,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1047922800449954,"Random patient, different studies"
20646778 vs 68539908,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1385686247454343,"Random patient, different studies"
20646778 vs 70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9963581158718946,"Random patient, different studies"
20646778 vs 70816595,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0641824493413132,"Random patient, different studies"
20646778 vs 77891596,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0686532227497147,"Random patient, different studies"
20646778 vs 86934089,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1018648187242086,"Random patient, different studies"
20646778 vs 90780976,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0987655223574881,"Random patient, different studies"
20646778 vs 94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1185731096820284,"Random patient, different studies"
20646778 vs 10291856,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1223641513953113,"Random patient, different studies"
20646778 vs 10383017,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1237428525457545,"Random patient, different studies"
20646778 vs 15483818,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0490564590508553,"Random patient, different studies"
20646778 vs 20646778,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0741567973097197,"Random patient, different studies"
20646778 vs 21001771,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1242598848013179,"Random patient, different studies"
20646778 vs 21272396,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.063838576402781,"Random patient, different studies"
20646778 vs 31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.097904673970246,"Random patient, different studies"
20646778 vs 37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1156440565186456,"Random patient, different studies"
20646778 vs 37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1130598788275787,"Random patient, different studies"
20646778 vs 41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,0.9894999697801762,"Random patient, different studies"
20646778 vs 50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.079833611900372,"Random patient, different studies"
20646778 vs 50109639,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1061700259182077,"Random patient, different studies"
20646778 vs 65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1235705108029292,"Random patient, different studies"
20646778 vs 67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1244322312288983,"Random patient, different studies"
20646778 vs 68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1177115883322732,"Random patient, different studies"
20646778 vs 70625336,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0310202295644038,"Random patient, different studies"
20646778 vs 70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.047681817357308,"Random patient, different studies"
20646778 vs 77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0786293327499143,"Random patient, different studies"
20646778 vs 86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0801777021775565,"Random patient, different studies"
20646778 vs 90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1156440565186456,"Random patient, different studies"
20646778 vs 94430339,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.07708105799761,"Random patient, different studies"
21001771 vs 10291856,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1184008030702999,"Random patient, different studies"
21001771 vs 10383017,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0595405588693259,"Random patient, different studies"
21001771 vs 15483818,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1289136494673269,"Random patient, different studies"
21001771 vs 20646778,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1242598848013179,"Random patient, different studies"
21001771 vs 21001771,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1115094986418514,"Random patient, different studies"
21001771 vs 21272396,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.046822704233915,"Random patient, different studies"
21001771 vs 31509843,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1346027438065576,"Random patient, different studies"
21001771 vs 37030589,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0934287337739261,"Random patient, different studies"
21001771 vs 37178462,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0911910601792256,"Random patient, different studies"
21001771 vs 41773404,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,0.9641410211989975,"Random patient, different studies"
21001771 vs 50106280,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0610877610896108,"Random patient, different studies"
21001771 vs 50109639,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.077425110872192,"Random patient, different studies"
21001771 vs 65652206,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.079317485251277,"Random patient, different studies"
21001771 vs 67429065,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1439149234714427,"Random patient, different studies"
21001771 vs 68539908,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.178952410771547,"Random patient, different studies"
21001771 vs 70625336,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0219211122068903,"Random patient, different studies"
21001771 vs 70816595,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1090979845851956,"Random patient, different studies"
21001771 vs 77891596,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0944615728682678,"Random patient, different studies"
21001771 vs 86934089,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1418452548618503,"Random patient, different studies"
21001771 vs 90780976,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.0908468202458679,"Random patient, different studies"
21001771 vs 94430339,ROSMAP-Mathys-2024,ROSMAP-Mathys-2023,1.1265004797168998,"Random patient, different studies"
21001771 vs 10291856,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1037590197883402,"Random patient, different studies"
21001771 vs 10383017,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0806938463601938,"Random patient, different studies"
21001771 vs 15483818,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0681373239756886,"Random patient, different studies"
21001771 vs 20646778,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0597124655556567,"Random patient, different studies"
21001771 vs 21001771,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1115094986418514,"Random patient, different studies"
21001771 vs 21272396,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0471663459816714,"Random patient, different studies"
21001771 vs 31509843,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1087535013043033,"Random patient, different studies"
21001771 vs 37030589,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.135119997470146,"Random patient, different studies"
21001771 vs 37178462,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.110820471215946,"Random patient, different studies"
21001771 vs 41773404,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0315353719048195,"Random patient, different studies"
21001771 vs 50106280,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.075532877914129,"Random patient, different studies"
21001771 vs 50109639,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1151271999078187,"Random patient, different studies"
21001771 vs 65652206,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1296031687097912,"Random patient, different studies"
21001771 vs 67429065,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1051367094919762,"Random patient, different studies"
21001771 vs 68539908,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.1011760534390314,"Random patient, different studies"
21001771 vs 70625336,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0384049396300954,"Random patient, different studies"
21001771 vs 70816595,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.082070282281179,"Random patient, different studies"
21001771 vs 77891596,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0624631313704618,"Random patient, different studies"
21001771 vs 86934089,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.054727645762454,"Random patient, different studies"
21001771 vs 90780976,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0932565980185218,"Random patient, different studies"
21001771 vs 94430339,ROSMAP-Mathys-2023,ROSMAP-Mathys-2024,1.0700290042202187,"Random patient, different studies"
